"gene","Nasr_22Rv1","Nasr_RM1","NED_ILSA","high_corr_common"
"ACADS",-0.466666666666667,0.8,0.828571428571429,"No"
"ACADSB",-0.45,0.733333333333333,-0.428571428571428,"No"
"ACAT1",0.516666666666667,-0.633333333333333,-0.1,"No"
"ACAT2",0.833333333333333,-0.616666666666667,0.571428571428571,"No"
"ACBD3",0.133333333333333,0.7,0.642857142857143,"No"
"ACBD5",-0.25,0.683333333333333,0.428571428571428,"No"
"ACBD6",0.1,-0.65,-0.392857142857143,"No"
"ACCS",0.533333333333333,0.683333333333333,0.214285714285714,"No"
"ACOT11",0.483333333333333,0.716666666666667,-0.0714285714285714,"No"
"ACOT2",0.133333333333333,0.716666666666667,-0.607142857142857,"No"
"ACOT4",0.266666666666667,0.9,-0.214285714285714,"No"
"ACOT9",0.583333333333333,-0.633333333333333,-0.75,"No"
"ACOX1",0.366666666666667,0.466666666666667,0.142857142857143,"No"
"ACOX3",0.4,0.683333333333333,0.857142857142857,"No"
"ACP1",-0.583333333333333,-0.75,0.535714285714286,"No"
"ACP2",0.5,0.55,0.428571428571428,"No"
"ACP6",0.516666666666667,0.466666666666667,0.25,"No"
"ACPP",0.833333333333333,0.75,-0.535714285714286,"No"
"ACRBP",0.183333333333333,0.783333333333333,-0.428571428571428,"No"
"ACSBG1",0.783333333333333,0.816666666666667,0,"No"
"ACSF2",-0.0833333333333333,0.616666666666667,-0.25,"No"
"ACSF3",-0.4,-0.916666666666667,0.392857142857143,"No"
"ACSL1",0.4,-0.85,0.25,"No"
"ACSL4",0.833333333333333,-0.683333333333333,0.371428571428571,"No"
"ACSL5",0.216666666666667,-0.7,0.785714285714285,"No"
"ACSL6",-0.433333333333333,0.933333333333333,-0.357142857142857,"No"
"ACSS2",0.666666666666667,0.366666666666667,-0.0857142857142857,"No"
"ACSS3",0.633333333333333,0.85,-0.25,"No"
"ACTL6A",-0.483333333333333,-0.816666666666667,0.178571428571429,"No"
"ACTN1",-0.583333333333333,-0.733333333333333,0.535714285714286,"No"
"ACTN4",-0.75,-0.683333333333333,0.392857142857143,"No"
"ACTR10",-0.3,-0.316666666666667,0.892857142857143,"No"
"ACTR1B",0.583333333333333,-0.616666666666667,-0.714285714285714,"No"
"ACTR2",-0.75,-0.483333333333333,0.357142857142857,"No"
"ACTR5",-0.45,-0.716666666666667,0.785714285714285,"No"
"ACTR6",-0.25,-0.616666666666667,0.107142857142857,"No"
"ACTR8",0.5,-0.716666666666667,0.357142857142857,"No"
"ACVR1",0.1,0.433333333333333,0.607142857142857,"No"
"ACVR1B",0.9,0.7,-0.75,"No"
"ACVR2A",0.866666666666667,-0.55,0.214285714285714,"No"
"ACVR2B",0.0333333333333333,-0.75,0.428571428571428,"No"
"ACY1",0.5,-0.883333333333333,0.357142857142857,"No"
"ACY3",0.866666666666667,0.5,-0.607142857142857,"No"
"ACYP1",-0.733333333333333,0.616666666666667,-0.714285714285714,"No"
"ACYP2",0.95,-0.75,-0.464285714285714,"No"
"ADA",0.3,-0.65,-0.771428571428571,"No"
"ADAL",-0.833333333333333,-0.666666666666667,-0.214285714285714,"No"
"ADAM10",-0.7,-0.233333333333333,-0.414431232839957,"No"
"ADAM11",-0.6,0.95,-0.214285714285714,"No"
"ADAM17",0.716666666666667,0.366666666666667,0.107142857142857,"No"
"ADAM19",-0.0333333333333333,0.733333333333333,-0.0357142857142857,"No"
"ADAM22",-0.366666666666667,0.983333333333333,-0.0357142857142857,"No"
"ADAM32",0.516666666666667,0.65,-0.107142857142857,"No"
"ADAMTS1",0.866666666666667,-0.816666666666667,-0.535714285714286,"No"
"ADAMTS12",0.133333333333333,0.883333333333333,0.857142857142857,"No"
"ADAMTS19",0.45,0.9,0.142857142857143,"No"
"ADAMTS2",0.266666666666667,0.8,0.678571428571428,"No"
"ADAMTS20",0.683333333333333,0.933333333333333,-0.5,"No"
"ADAMTS4",0.15,0.5,-0.785714285714285,"No"
"ADAMTS5",0.616666666666667,0.933333333333333,0.285714285714286,"No"
"ADAMTS6",0.533333333333333,0.733333333333333,1,"No"
"ADAMTS9",0.35,0.85,0.25,"No"
"ADAMTSL2",0.45,0.683333333333333,-0.0857142857142857,"No"
"ADAMTSL3",-0.566666666666667,0.7,-0.107142857142857,"No"
"ADAMTSL4",-0.366666666666667,0.1,0.214285714285714,"No"
"ADAMTSL5",0.833333333333333,0.633333333333333,0.321428571428571,"No"
